"Stkcd","Stknme","Annctime","Type","Suspdate","Resmdate","Timeperd"
"000557","西部创业","2017-01-10","1","2017-01-10","2017-01-24","40.00"
"000557","西部创业","2017-05-02","1","2017-05-02","2017-09-11","368.00"
"000557","西部创业","2017-11-28","1","2017-11-28","2018-01-22","152.00"
"000558","莱茵体育","2016-10-17","1","2016-10-17","2017-04-17","488.00"
"000558","莱茵体育","2018-02-06","1","2018-02-06","2018-02-13","20.00"
"000558","莱茵体育","2020-11-30","1","2020-11-30","","-9666.00"
"000559","万向钱潮","2017-04-10","1","2017-04-10","2017-04-17","20.00"
"000560","昆百大A","2016-09-02","1","2016-09-02","2017-03-24","528.00"
"000560","昆百大A","2017-09-29","1","2017-09-29","2017-10-13","20.00"
"000563","陕国投A","2016-10-14","1","2016-10-14","2017-01-18","268.00"
"000563","陕国投A","2017-02-20","1","2017-02-20","2017-02-23","12.00"
"000563","陕国投A","2017-06-20","1","2017-06-20","2017-06-27","20.00"
"000563","陕国投A","2018-07-17","1","2018-07-17","2018-07-25","24.00"
"000564","西安民生","2016-12-12","1","2016-12-12","2016-12-14","8.00"
"000564","供销大集","2017-11-28","1","2017-11-28","2018-07-20","628.00"
"000566","海南海药","2017-02-27","1","2017-02-27","2017-03-13","40.00"
"000566","海南海药","2017-06-05","1","2017-06-05","2017-06-12","20.00"
"000566","海南海药","2017-11-22","1","2017-11-22","2018-07-09","608.00"
"000566","海南海药","2019-04-29","1","2019-04-29","2019-05-06","8.00"
"000576","广东甘化","2016-08-18","1","2016-08-18","2016-12-15","312.00"
"000576","广东甘化","2018-09-17","1","2018-09-17","2018-10-10","44.00"
"000582","北部湾港","2017-05-04","1","2017-05-04","2017-05-11","20.00"
"000582","北部湾港","2017-10-26","1","2017-10-26","2017-11-02","20.00"
"000584","友利控股","2016-10-10","1","2016-10-10","2017-03-30","468.00"
"000584","哈工智能","2018-02-05","1","2018-02-05","2018-02-12","20.00"
"000584","哈工智能","2018-03-29","1","2018-03-29","2018-07-16","288.00"
"000586","汇源通信","2017-01-16","1","2017-01-16","2017-03-20","160.00"
"000586","汇源通信","2017-11-06","1","2017-11-06","2017-11-21","44.00"
"000586","汇源通信","2018-02-05","1","2018-02-05","2018-02-22","32.00"
"000590","启迪古汉","2018-04-16","1","2018-04-16","2018-05-08","56.00"
"000590","启迪古汉","2019-02-25","1","2019-02-25","2019-03-11","40.00"
"000592","平潭发展","2016-07-28","1","2016-07-28","2016-08-01","6.00"
"000592","平潭发展","2017-08-09","1","2017-08-09","2018-01-29","468.00"
"000593","大通燃气","2017-11-20","1","2017-11-20","2017-11-27","20.00"
"000593","大通燃气","2018-02-07","1","2018-02-07","2018-02-14","20.00"
"000593","大通燃气","2018-03-20","1","2018-03-20","2018-06-11","220.00"
"000597","东北制药","2020-06-24","1","2020-06-24","2020-07-01","12.00"
"000597","东北制药","2020-08-10","1","2020-08-10","2020-08-12","8.00"
"000597","东北制药","2020-09-23","1","2020-09-23","2020-09-29","16.00"
"000600","建投能源","2019-03-06","1","2019-03-06","2019-03-07","4.00"
"000600","建投能源","2019-07-24","1","2019-07-24","2019-07-25","4.00"
"000603","盛达矿业","2018-06-11","1","2018-06-11","2018-08-21","200.00"
"000605","渤海股份","2017-04-13","1","2017-04-13","2017-04-17","8.00"
"000606","*ST 易桥","2017-03-13","1","2017-03-13","2017-03-14","4.00"
"000606","神州易桥","2017-07-03","1","2017-07-03","2017-11-07","344.00"
"000606","神州易桥","2018-02-02","1","2018-02-02","2018-05-09","236.00"
"000608","阳光股份","2017-09-27","1","2017-09-27","2017-12-08","188.00"
"000608","阳光股份","2019-03-26","1","2019-03-26","2019-04-02","20.00"
"000609","绵石投资","2016-09-26","1","2016-09-26","2016-11-22","144.00"
"000609","绵石投资","2017-08-21","1","2017-08-21","2017-09-04","38.00"
"000610","西安旅游","2017-05-22","1","2017-05-22","2017-07-24","172.00"
"000612","焦作万方","2016-07-20","1","2016-07-20","2016-07-21","4.00"
"000612","焦作万方","2020-05-27","1","2020-05-27","2020-06-03","20.00"
"000613","大东海A","2017-02-15","1","2017-02-15","2017-08-17","504.00"
"000613","*ST 东海A","2018-01-31","1","2018-01-31","2018-02-08","24.00"
"000613","*ST 东海A","2018-03-14","1","2018-03-14","2018-03-15","4.00"
